iter	Passed	Remaining
405	6676	9767
406	6693	9751
407	6710	9736
408	6726	9720
409	6744	9706
410	6761	9689
411	6777	9672
412	6794	9656
413	6810	9639
414	6826	9623
415	6842	9605
416	6858	9588
417	6875	9572
418	6891	9555
419	6904	9534
420	6919	9516
421	6934	9498
422	6951	9482
423	6967	9465
424	6983	9447
425	6998	9429
426	7014	9413
427	7030	9395
428	7046	9378
429	7061	9361
430	7076	9342
431	7092	9325
432	7108	9307
433	7123	9290
434	7141	9275
435	7158	9259
436	7177	9247
437	7196	9233
438	7214	9218
439	7233	9206
440	7250	9189
441	7266	9173
442	7285	9160
443	7303	9145
444	7319	9128
445	7335	9112
446	7351	9094
447	7367	9078
448	7383	9061
449	7400	9044
450	7416	9028
451	7432	9010
452	7448	8993
453	7464	8976
454	7479	8959
455	7495	8941
456	7510	8924
457	7529	8910
458	7547	8895
459	7562	8878
460	7579	8861
461	7595	8844
462	7612	8828
463	7628	8812
464	7644	8795
465	7661	8779
466	7679	8765
467	7695	8748
468	7713	8732
469	7729	8715
470	7745	8699
471	7760	8681
472	7776	8664
473	7794	8649
474	7813	8635
475	7829	8619
476	7845	8601
477	7861	8584
478	7876	8567
479	7892	8549
480	7918	8544
481	7939	8532
482	7955	8515
483	7971	8498
484	7988	8482
485	8004	8465
486	8020	8448
487	8035	8430
488	8051	8413
489	8069	8398
490	8086	8382
491	8102	8366
492	8118	8349
493	8134	8331
494	8149	8314
495	8165	8296
496	8182	8281
497	8198	8264
498	8213	8246
499	8229	8229
500	8246	8213
501	8262	8197
502	8281	8182
503	8306	8174
504	8328	8163
505	8345	8147
506	8361	8130
507	8377	8113
508	8393	8096
509	8408	8078
510	8424	8061
511	8439	8044
512	8457	8028
513	8474	8012
514	8489	7995
515	8505	7977
516	8521	7960
517	8536	7943
518	8553	7926
519	8571	7911
520	8589	7897
521	8605	7880
522	8621	7863
523	8637	7846
524	8655	7831
525	8671	7814
526	8689	7798
527	8705	7782
528	8725	7768
529	8741	7751
530	8757	7735
531	8774	7719
532	8793	7705
533	8813	7691
534	8829	7674
535	8845	7657
536	8863	7642
537	8880	7625
538	8897	7609
539	8913	7592
540	8929	7575
541	8944	7558
542	8959	7540
543	8975	7523
544	8990	7505
545	9006	7489
546	9022	7471
547	9037	7453
548	9052	7436
549	9069	7420
550	9084	7402
551	9101	7386
552	9119	7371
553	9135	7354
554	9151	7337
555	9169	7322
556	9187	7307
557	9204	7290
558	9219	7273
559	9235	7256
560	9252	7240
561	9268	7223
562	9284	7206
563	9302	7191
564	9318	7174
565	9334	7157
566	9350	7140
567	9366	7123
568	9390	7112
569	9415	7102
570	9435	7088
571	9456	7075
572	9478	7063
573	9502	7052
574	9521	7037
575	9542	7024
576	9565	7012
577	9584	6997
578	9606	6985
579	9628	6972
580	9655	6963
581	9679	6951
582	9700	6938
583	9717	6922
584	9734	6905
585	9752	6889
586	9769	6873
587	9786	6857
588	9803	6840
589	9822	6825
590	9845	6813
591	9865	6799
592	9888	6787
593	9915	6777
594	9936	6763
595	9956	6749
596	9977	6735
597	9996	6719
598	10014	6704
599	10034	6689
600	10054	6675
601	10074	6660
602	10097	6647
603	10117	6633
604	10141	6621
605	10160	6605
606	10177	6589
607	10193	6572
608	10210	6555
609	10225	6537
610	10241	6520
611	10256	6502
612	10273	6485
613	10292	6470
614	10308	6453
615	10324	6435
616	10340	6419
617	10356	6401
618	10372	6384
619	10388	6366
620	10404	6349
621	10419	6332
622	10435	6315
623	10451	6297
624	10466	6279
625	10481	6262
626	10497	6244
627	10513	6227
628	10532	6212
629	10553	6198
630	10572	6182
631	10593	6168
632	10613	6153
633	10633	6138
634	10651	6122
635	10669	6106
636	10689	6091
637	10707	6075
638	10724	6059
639	10742	6042
640	10762	6027
641	10781	6011
642	10799	5996
643	10818	5980
644	10836	5964
645	10855	5948
646	10873	5932
647	10891	5916
648	10911	5901
649	10933	5887
650	10952	5871
651	10969	5855
652	10989	5839
653	11008	5823
654	11027	5808
655	11049	5794
656	11069	5779
657	11090	5764
658	11113	5750
659	11136	5736
660	11153	5720
661	11171	5703
662	11189	5687
663	11209	5672
664	11231	5658
665	11273	5653
666	11307	5645
667	11338	5635
668	11369	5625
669	11401	5615
670	11431	5605
671	11455	5591
672	11475	5575
673	11496	5560
674	11516	5544
675	11535	5528
676	11553	5512
677	11573	5496
678	11593	5480
679	11610	5463
680	11628	5446
681	11648	5431
682	11670	5416
683	11695	5403
684	11718	5388
685	11737	5372
686	11757	5356
687	11777	5340
688	11795	5324
689	11815	5308
690	11833	5291
691	11852	5275
692	11871	5259
693	11891	5243
694	11909	5226
695	11928	5209
696	11947	5193
697	11967	5177
698	11988	5162
699	12006	5145
700	12027	5130
701	12051	5115
702	12074	5101
703	12097	5086
704	12117	5070
705	12140	5055
706	12161	5040
707	12181	5024
708	12208	5010
709	12235	4997
710	12260	4983
711	12285	4969
712	12306	4953
713	12328	4938
714	12348	4922
715	12369	4906
716	12390	4890
717	12409	4873
718	12429	4857
719	12451	4842
720	12474	4826
721	12494	4810
722	12514	4794
723	12534	4778
724	12554	4762
725	12574	4745
726	12593	4729
727	12613	4712
728	12632	4696
729	12651	4679
730	12670	4662
731	12691	4646
732	12710	4630
733	12732	4614
734	12756	4599
735	12778	4583
736	12799	4567
737	12818	4550
738	12836	4533
739	12854	4516
740	12873	4499
741	12892	4482
742	12909	4465
743	12929	4448
744	12948	4431
745	12969	4415
746	12988	4399
747	13008	4382
748	13028	4366
749	13052	4350
750	13073	4334
751	13095	4318
752	13118	4303
753	13138	4286
754	13158	4269
755	13178	4253
756	13198	4236
757	13217	4219
758	13238	4203
759	13259	4187
760	13277	4169
761	13293	4151
762	13310	4134
763	13357	4126
764	13376	4109
765	13392	4091
766	13415	4075
767	13463	4067
768	13485	4051
769	13508	4035
770	13531	4019
771	13559	4004
772	13583	3989
773	13606	3973
774	13636	3958
775	13662	3943
776	13686	3927
777	13709	3912
778	13733	3896
779	13757	3880
780	13777	3863
781	13796	3846
782	13814	3828
783	13833	3811
784	13853	3794
785	13874	3777
786	13895	3760
787	13917	3744
788	13938	3727
789	13956	3709
790	13974	3692
791	13991	3674
792	14008	3656
793	14025	3638
794	14044	3621
795	14060	3603
796	14077	3585
797	14094	3567
798	14113	3550
799	14130	3532
800	14146	3514
801	14167	3497
802	14189	3481
803	14209	3463
804	14231	3447
805	14254	3431
806	14277	3414
807	14304	3399
808	14329	3383
809	14357	3367
810	14382	3351
811	14404	3335
812	14425	3318
813	14446	3301
814	14464	3283
815	14482	3265
816	14502	3248
817	14520	3230
818	14540	3213
819	14559	3195
820	14579	3178
821	14602	3162
822	14622	3144
823	14644	3128
824	14668	3111
825	14694	3095
826	14716	3078
827	14740	3061
828	14760	3044
829	14778	3026
830	14795	3008
831	14812	2990
832	14831	2973
833	14849	2955
834	14871	2938
835	14892	2921
836	14912	2904
837	14960	2892
838	14999	2878
839	15040	2864
840	15064	2848
841	15081	2830
842	15100	2812
843	15119	2794
844	15139	2777
845	15163	2760
846	15186	2743
847	15207	2725
848	15232	2709
849	15256	2692
850	15278	2675
851	15300	2657
852	15323	2640
853	15343	2623
854	15360	2605
855	15378	2587
856	15398	2569
857	15422	2552
858	15442	2534
859	15465	2517
860	15487	2500
861	15510	2483
862	15530	2465
863	15553	2448
864	15573	2430
865	15594	2412
866	15617	2395
867	15637	2378
868	15658	2360
869	15678	2342
870	15695	2324
871	15714	2306
872	15734	2288
873	15753	2271
874	15776	2253
875	15797	2236
876	15818	2218
877	15839	2200
878	15861	2183
879	15886	2166
880	15909	2148
881	15933	2131
882	15956	2114
883	15978	2096
