iter	MAE	RMSE
884	0.04187109424	0.05437504373
885	0.04177497763	0.05423847742
886	0.0417088398	0.05417317613
887	0.0416967624	0.05415795393
888	0.04164214748	0.05406370963
889	0.04160530039	0.05403348953
890	0.04153849205	0.05397068771
891	0.04150254115	0.05392151147
892	0.04149073528	0.05390691108
893	0.04143303884	0.05384407747
894	0.04134955405	0.05370808105
895	0.04126690565	0.05357462995
896	0.04122505837	0.0535165485
897	0.04118368853	0.05346008305
898	0.04113404469	0.05340569917
899	0.04108503727	0.05335262767
900	0.04104412474	0.05329740527
901	0.04100367803	0.05324370559
902	0.04099037059	0.0532299311
903	0.04094914808	0.05319670776
904	0.04090914971	0.0531443782
905	0.04085693731	0.0531055831
906	0.04080882363	0.0530537526
907	0.04077375165	0.05300698631
908	0.04070215411	0.05288513118
909	0.04065409696	0.05278206143
910	0.04061636683	0.05268890516
911	0.04058242597	0.05264332235
912	0.04054917725	0.05260297832
913	0.04051204984	0.05251275445
914	0.04047237703	0.05247623827
915	0.04043115089	0.05239932015
916	0.04039754531	0.05235440587
917	0.04031646734	0.05222648199
918	0.04024571476	0.05210917469
919	0.04017559988	0.05199371926
920	0.04010611666	0.0518800862
921	0.04006930947	0.05182965552
922	0.04000044172	0.05171772825
923	0.03994354532	0.05162916303
924	0.03991332941	0.05157365311
925	0.03985869754	0.05149037164
926	0.03979043904	0.05137999258
927	0.03975101313	0.05130619007
928	0.0396834172	0.05119747006
929	0.03961643071	0.05109046788
930	0.03955711974	0.05103051546
931	0.03949852163	0.0509718379
932	0.03943213301	0.05086626645
933	0.03936634258	0.05076236235
934	0.03931335623	0.05068196397
935	0.03925869564	0.05059841218
936	0.03916362075	0.05045639235
937	0.03913217778	0.05041740376
938	0.03906700544	0.05031475606
939	0.03901788473	0.05023419714
940	0.03896734691	0.05015901563
941	0.03890278686	0.05005783187
942	0.03884546699	0.05000012991
943	0.03881504336	0.04991863076
944	0.03878651645	0.04986935978
945	0.03875214894	0.04982297283
946	0.03872826634	0.04979986485
947	0.03866431624	0.04970017182
948	0.03863371906	0.04966221848
949	0.03857065639	0.04956402053
950	0.03850839939	0.04946737318
951	0.03849561859	0.04945568404
952	0.03848308355	0.04944424397
953	0.0384600692	0.04942393993
954	0.03839848182	0.04932903658
955	0.03832897468	0.04922875874
956	0.0382798967	0.04915588751
957	0.0382568358	0.0491361545
958	0.03818760235	0.04903789685
959	0.03814675307	0.04896285111
960	0.03811932633	0.04891785628
961	0.03809377951	0.04884094565
962	0.03806807075	0.04879385964
963	0.03804456446	0.04877823848
964	0.03799326099	0.04870871762
965	0.03792535819	0.04861205884
966	0.03789806411	0.04856825099
967	0.03786726851	0.04855233633
968	0.03781678572	0.04848471929
969	0.03775786216	0.04839577999
970	0.03769946285	0.04830825212
971	0.03767499116	0.04823504643
972	0.03760908009	0.04814314504
973	0.03755177083	0.04805835214
974	0.03752272697	0.04803464859
975	0.03746593624	0.04795124725
976	0.03741413428	0.04787891538
977	0.03731765366	0.04776853169
978	0.03722270538	0.04766120052
979	0.0371865183	0.04759347792
