iter	MAE	RMSE
190	0.2054770816	0.295040735
191	0.2047664699	0.2937147859
192	0.204241491	0.2926964688
193	0.2035967416	0.2913621453
194	0.2028693164	0.2900967597
195	0.2023940037	0.2890888842
196	0.201745692	0.2878157785
197	0.2006463416	0.2863019417
198	0.2000956846	0.2851222311
199	0.1989978651	0.2833173663
200	0.1985348214	0.2821683639
201	0.1979133116	0.2811505098
202	0.1970784882	0.2796586749
203	0.1963692589	0.278647097
204	0.196028675	0.2777572006
205	0.1944454225	0.2755888533
206	0.1941591487	0.2750833131
207	0.1937221264	0.2742447748
208	0.1932907391	0.2733906242
209	0.1923362475	0.2718881198
210	0.1916776016	0.270771731
211	0.1904320177	0.2692723901
212	0.1898006478	0.2682999992
213	0.1885937402	0.2665547844
214	0.1883791428	0.2661661181
215	0.1878672908	0.2652469146
216	0.187012562	0.2639863986
217	0.1864268934	0.2628675818
218	0.1861757319	0.2621799089
219	0.1855439706	0.2611392824
220	0.1848682652	0.2600964272
221	0.1843094155	0.2590988017
222	0.1836660871	0.2578765425
223	0.183088181	0.2567085851
224	0.1820157101	0.254990739
225	0.1813775865	0.2538763798
226	0.1807697377	0.2526297338
227	0.1803676004	0.2519397609
228	0.180080987	0.2514995828
229	0.1797491362	0.2508987608
230	0.1786359127	0.2496935396
231	0.1782115796	0.2489037587
232	0.1778928153	0.2483958633
233	0.1768069222	0.2470623013
234	0.176242704	0.2460876749
235	0.176055177	0.2457586275
236	0.1749647011	0.2440306642
237	0.1746989495	0.2434562025
238	0.1744373521	0.2429329249
239	0.1738357923	0.2418524109
240	0.1733280524	0.2408682075
241	0.1729703775	0.2401714658
242	0.1729163535	0.2400137411
243	0.171802758	0.2387088978
244	0.1715122549	0.2381913971
245	0.1709448836	0.2371584411
246	0.170091052	0.2358076309
247	0.1697228911	0.2350900588
248	0.1694903731	0.2346006645
249	0.1687226053	0.2335102535
250	0.1683849169	0.2328564893
251	0.1677941394	0.2319458759
252	0.1667382424	0.230305988
253	0.1664400973	0.22965553
254	0.166107371	0.2293143405
255	0.1655466426	0.2284780395
256	0.1651445302	0.2276830861
257	0.1649320907	0.2272360962
258	0.1637418701	0.2254097148
259	0.163209937	0.2245176703
260	0.1623474225	0.2231457328
261	0.1614560753	0.2218096999
262	0.161039354	0.2212824532
263	0.160520041	0.2204070655
264	0.1600474861	0.2194070625
265	0.1598365008	0.2189942091
